All,Wszystko
"Cannot create the B2B quote. The minimum order for a quote request is %currency%amount","Nie można utworzyć oferty B2B. Minimalne zamówienie dla zapytania ofertowego wynosi %currency%amount"
"The quote %quoteId is currently locked and cannot be submitted to the customer. Please check the quote status.","Oferta %quoteId jest obecnie zablokowana i nie może zostać przesłana do klienta. Sprawdź status oferty."
"Cannot delete all items from a B2B quote. The quote must contain at least one item.","Nie można usunąć wszystkich pozycji z oferty B2B. Wycena musi zawierać co najmniej jedną pozycję."
"Cannot set the shipping price. You must select a shipping method first.","Nie można ustawić ceny wysyłki. Najpierw należy wybrać metodę wysyłki."
"Product with SKU %1 not found in catalog","Produkt o numerze SKU %1 nie został znaleziony w katalogu"
"Street: street1, Postcode: 12345","Ulica: street1, Kod pocztowy: 12345"
"Validation error message","Komunikat o błędzie walidacji"
"Message 1","Wiadomość 1"
"Message 2","Wiadomość 2"
"exception message","komunikat wyjątku"
"Order Placed From Quote","Zamówienie złożone na podstawie oferty"
Comments,Komentarze
"Request Declined. Reason: ","Wniosek odrzucony. Powód:"
"Created By","Utworzony przez"
rate,stawka
Expires,Wygasa
"Company Admin Email","Firmowy adres e-mail administratora"
Seller,Sprzedawca
"Catalog Price","Cena katalogowa"
"History Log","Dziennik historii"
"Add your comment","Dodaj komentarz"
"Attach file","Dołącz plik"
"Quote & Account Information","Wycena i informacje o koncie"
"Quote # %1","Cytat # %1"
"Edit Company","Edytuj firmę"
"Sales Rep","Przedstawiciel handlowy"
"Add Product By SKU","Dodaj produkt po SKU"
"Name & SKU","Nazwa i SKU"
"Cart Price","Cena koszyka"
"Recalculate Quote","Przelicz ofertę"
"Update Prices","Aktualizuj ceny"
"Delete Action","Usuń działanie"
"The quote list has changed. Please update the negotiated price.","Lista ofert uległa zmianie. Prosimy o aktualizację wynegocjowanej ceny."
Negotiation,Negocjacje
"Quote Totals","Suma cytatów"
"Shipping Methods & Price","Metody wysyłki i cena"
"Sorry, rates are not available for this quote.","Przepraszamy, stawki nie są dostępne dla tej oferty."
"You have no shipping address for this quote.","Nie podano adresu wysyłki dla tej oferty."
"Proposed Shipping Price","Proponowana cena wysyłki"
"Click to change shipping method","Kliknij, aby zmienić metodę wysyłki"
"Sorry, rates are not available for this quote..","Przepraszamy, stawki nie są dostępne dla tej oferty...."
"Get shipping methods and rates","Pobierz sposoby dostawy i stawki"
"Enter SKU","Wprowadź SKU"
"The negotiated price cannot be higher than the catalog total price.","Wynegocjowana cena nie może być wyższa niż całkowita cena katalogowa."
"Negotiated Price cannot be less than 0","Wynegocjowana cena nie może być niższa niż 0"
"Products Not Added to the Quote","Produkty nie dodane do oferty"
"Add Products to Quote","Dodaj produkty do wyceny"
(Updated),(Aktualizacja)
(Added),(Dodano)
"Shipping address","Adres dostawy"
"Proposed shipping price","Proponowana cena wysyłki"
"Shipping method","Metoda dostawy"
removed,usunięty
" - removed"," - usunięty"
"Request a Quote","Zapytanie ofertowe"
"Quote name","Nazwa cytatu"
"Send Request","Wyślij żądanie"
"Order Placed From Quote:","Zamówienie złożone na podstawie oferty:"
"Cannot Open the Quote","Nie można otworzyć cytatu"
"This quote cannot be viewed at the current website. Would you like to navigate to the website where you created this quote?","Tej oferty nie można wyświetlić na bieżącej stronie. Czy chcesz przejść do strony, na której utworzyłeś ten cytat?"
"Show My Orders","Pokaż moje zamówienia"
"Show All Orders","Pokaż wszystkie zamówienia"
Merge,Połączenie
"Quote Comments","Komentarz do cytatu"
Created:,Utworzono:
Expires:,Wygasa:
"Sales Rep.:","Przedstawiciel handlowy:"
"Select Existing Address","Wybierz istniejący adres"
"No shipping information available","Brak informacji o wysyłce"
"Select a shipping address from your address book.","Wybierz adres dostawy z książki adresowej."
"Send for Review","Wyślij do recenzji"
"Close quote","Zamknij cytat"
"Quote Items",Cytaty
"No shipping information available.","Brak dostępnych informacji o wysyłce."
"Your quote number is: %1.","Twój numer cytatu to: %1."
"The quote has been sent to the merchant.","Wycena została wysłana do sprzedawcy."
"Dear %merchant_name,","Drogi %merchant_name,"
"New quote ","Nowy cytat"
" submitted by buyer"," przesłane przez kupującego"
"Thank you,","Dziękuję,"
"Dear %customer_name,","Drogi %customer_name,"
"Your quote ","Twój cytat"
" has been declined by the seller."," została odrzucona przez sprzedającego."
"Reason: %reason.","Powód: %powód."
" expires on "," wygasa w dniu"
" after which time you can’t order the items in the quote. After the expiration,
    you’ll have to negotiate the price with the seller again."," Po upływie tego czasu nie można zamawiać przedmiotów z oferty. Po wygaśnięciu,
    będziesz musiał ponownie negocjować cenę ze sprzedawcą."
"The quote ",Cytat
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date."," Po tym czasie zostanie przywrócony domyślny okres ważności. Aby przedłużyć
    okres ważności oferty, należy zaktualizować jej datę wygaśnięcia."
"Expiration date for the Quote %quoteName has been reset so you can keep working on the quote.
    You can set a new expiration date if you wish.","Data wygaśnięcia kwotowania %quoteName została zresetowana, aby umożliwić dalszą pracę nad kwotowaniem.
    Jeśli chcesz, możesz ustawić nową datę wygaśnięcia."
"Quote ",Cytat
" updated by buyer"," zaktualizowane przez kupującego"
"The seller responded to your quote ","Sprzedawca odpowiedział na Twoją ofertę"
"The Quote expires after ","Oferta wygasa po"
"Item in Quote","Pozycja w wycenie"
"Items in Quote","Pozycje w wycenie"
"Cancel coupon","Anuluj kupon"
"Update Catalog Prices","Aktualizacja cen katalogowych"
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.","Jeśli kontynuujesz, ceny katalogowe i rabaty w koszyku w tej ofercie zostaną zaktualizowane zgodnie z najnowszymi zmianami w katalogu i zasadami cenowymi."
"No ordered items","Brak zamówionych przedmiotów"
"Please enter a number greater than 0 in this field","Wprowadź w tym polu liczbę większą niż 0"
"Please enter a non-decimal number please","Wprowadź liczbę niedziesiętną"
"Maximum length of the message is ","Maksymalna długość wiadomości wynosi"
"Decline Quote?","Odrzucenie cytatu?"
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.","Po kliknięciu przycisku [Potwierdź] wszystkie niestandardowe ceny z wybranych ofert zostaną usunięte. Kupujący będą mogli składać zamówienia przy użyciu standardowych cen katalogowych."
"Decline Quotes?","Cytaty o upadku?"
"Cannot Decline the Selected Quotes","Nie można odrzucić wybranych cytatów"
"Only the quotes that are currently in status 'Open' can be declined","Odrzucić można tylko oferty, które aktualnie mają status ""Otwarte""."
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.","Jeśli odrzucisz tę ofertę, wszystkie niestandardowe ceny z tej oferty zostaną usunięte. Kupujący będzie mógł złożyć zamówienie, korzystając ze standardowych cen katalogowych i rabatów."
"Your file could not be uploaded. Please try again.","Nie można przesłać pliku. Spróbuj ponownie."
"You cannot attach more than ten files per comment.","Do jednego komentarza nie można dołączyć więcej niż dziesięciu plików."
"Cannot Upload File","Nie można przesłać pliku"
"Quote request rules","Zasady wysyłania zapytań ofertowych"
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.","Kody kuponów i karty podarunkowe nie są dozwolone w wycenach. Wybierz, czy chcesz zachować kod kuponu/kartę podarunkową bez prośby o wycenę, czy poprosić o wycenę bez kodu kuponu/karty podarunkowej."
"The shopping cart isn't empty","Koszyk nie jest pusty"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Masz produkty w koszyku. Czy chcesz połączyć produkty w tym zamówieniu z produktami z tego koszyka lub je zastąpić?"
"Select Cancel to stay on the current page.","Wybierz Anuluj, aby pozostać na bieżącej stronie."
"Are you sure you want to delete this quote?","Czy na pewno chcesz usunąć ten cytat?"
"Go to Checkout?","Przejść do kasy?"
"Enable B2B Quote","Włączanie ofert B2B"
"Minimum Amount","Minimalna kwota"
"Minimum order total for quote request.","Minimalna suma zamówienia dla zapytania ofertowego."
"Minimum Amount Message","Komunikat o kwocie minimalnej"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Ten komunikat pojawi się w koszyku po gdy suma częściowa (po Rabacie) jest niższa niż minimalna dozwolona kwota."
"Default Expiration Period","Domyślny okres ważności"
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.","Okres ten będzie używany jako domyślny okres wygaśnięcia kwotowań. Można go zmienić dla dowolnego kwotowania."
"Attached files","Załączone pliki"
"File formats for upload","Formaty plików do przesłania"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Każde rozszerzenie pliku należy oddzielić przecinkiem. Specjalne symbole, takie jak kropki, zamienione przecinki, gwiazdki itp. nie są dozwolone."
"Maximum file size","Maksymalny rozmiar pliku"
"File size in MB. Note that this setting can be overridden by the server settings.","Rozmiar pliku w MB. Należy pamiętać, że to ustawienie może zostać zastąpione przez ustawienia serwera."
"Updated Quote Template (to Buyer)","Zaktualizowany szablon oferty (dla kupującego)"
"Declined Quote Template (to Buyer)","Szablon oferty odrzuconej (dla kupującego)"
"New Quote Template (to Seller)","Nowy szablon wyceny (dla sprzedawcy)"
"Updated Quote Template (to Seller)","Zaktualizowany szablon wyceny (dla sprzedawcy)"
"Quote Expiration (in 48 hrs)","Wygaśnięcie oferty (w ciągu 48 godzin)"
"Quote Expiration (in 24 hrs)","Wygaśnięcie oferty (w ciągu 24 godzin)"
"Expiration Date Reset","Reset daty wygaśnięcia"
"Send Quote Email Copy To","Wyślij kopię oferty e-mailem do"
"Send Quote Email Copy Method","Wyślij ofertę e-mailem Metoda kopiowania"
"Request, Edit, Delete","Żądanie, Edycja, Usunięcie"
"Checkout with quote","Wypłata z wyceną"
"View quotes of subordinate users","Wyświetlanie cytatów podrzędnych użytkowników"
"Allow Quotes","Pozwól na cytaty"
"Created Date","Data utworzenia"
"Submitted By","Zgłoszony przez"
"Last Updated","Ostatnia aktualizacja"
"Quote Total (Base)","Wycena Łącznie (podstawa)"
"Quote Total (Negotiated)","Łączna wycena (wynegocjowana)"
"Quote Name","Nazwa cytatu"
"Quote Total","Całkowita kwota"
